[1494938997335][**] $GPRMC,124956,A,5907.4750,N,01014.1000,E,0.1000,358.000,160517,,*23
[1494938997403][**] $GPDBT,14.50,f,4.42,M,,*5C
[1494938997467][**] $GPVHW,,,322.00,M,0.00,N,0.00,K*0B
[1494938997523][**] $GPMTW,50.00,C*31
[1494938997582][**] $GPVHW,,,322.00,M,0.00,N,0.00,K*0B
[1494938997642][**] $GPMTW,-1.00,C*28
[1494938997704][**] $GPRSA,222.00,A,,,*26
[1494938997762][**] $GPVWR,136.00,R,7.70,N,,,,*5C
[1494938997827][**] $GPMWV,136.00,R,7.70,N,A*2E
[1494938997882][**] $GPVWR,136.00,R,6.90,N,,,,*53
[1494938997946][**] $GPMWV,136.00,R,6.90,N,A*21
[1494938998006][*-] $GPVTG,358.00,T,,,0.10,N,0.19,K*1A
[1494938998064][*-] $GPVTG,358.00,T,,,0.10,N,0.19,K*1A
[1494938998123][**] $GPGGA,124957,5907.4750,N,01014.1000,E,1,04,2.00,0.00,M,,,*3F
[1494938998125][**] $GPRMC,124957,A,5907.4750,N,01014.1000,E,0.1000,358.000,160517,,*22
[1494938998193][**] $GPGGA,124957,5907.4700,N,01014.1000,E,1,04,2.00,0.00,M,,,*3A
[1494938998196][**] $GPRMC,124957,A,5907.4700,N,01014.1000,E,0.1000,358.000,160517,,*27
[1494938998263][**] $GPHDG,322.00,,,2.00,E*34
[1494938998324][**] $GPDBT,14.50,f,4.42,M,,*5C
[1494938998384][**] $GPVHW,,,322.00,M,0.00,N,0.00,K*0B
[1494938998442][**] $GPMTW,50.00,C*31
[1494938998503][**] $GPVHW,,,322.00,M,0.00,N,0.00,K*0B
[1494938998562][**] $GPMTW,-1.00,C*28
[1494938998622][**] $GPRSA,222.00,A,,,*26
[1494938998684][**] $GPVWR,145.00,R,6.90,N,,,,*57
[1494938998744][**] $GPMWV,145.00,R,6.90,N,A*25
[1494938998804][**] $GPVWR,145.00,R,7.30,N,,,,*5C
[1494938998874][**] $GPMWV,145.00,R,7.30,N,A*2E
[1494938998922][*-] $GPVTG,358.00,T,,,0.10,N,0.19,K*1A
[1494938998983][*-] $GPVTG,358.00,T,,,0.10,N,0.19,K*1A
[1494938999043][**] $GPGGA,124958,5907.4750,N,01014.1000,E,1,04,2.00,0.00,M,,,*30
[1494938999045][**] $GPRMC,124958,A,5907.4750,N,01014.1000,E,0.1000,358.000,160517,,*2D
[1494938999187][**] $GPHDG,322.00,,,2.00,E*34
[1494938999243][**] $GPDBT,14.30,f,4.36,M,,*59
[1494938999302][**] $GPVHW,,,322.00,M,0.00,N,0.00,K*0B
[1494938999362][**] $GPMTW,50.00,C*31
[1494938999424][**] $GPVHW,,,322.00,M,0.00,N,0.00,K*0B
[1494938999484][**] $GPMTW,-1.00,C*28
[1494938999544][**] $GPVWR,140.00,R,7.30,N,,,,*59
[1494938999602][**] $GPMWV,140.00,R,7.30,N,A*2B
[1494938999664][**] $GPVWR,140.00,R,6.50,N,,,,*5E
[1494938999723][**] $GPMWV,140.00,R,6.50,N,A*2C
[1494938999795][**] $GPRSA,222.00,A,,,*26
[1494938999843][*-] $GPVTG,358.00,T,,,0.10,N,0.19,K*1A
[1494938999905][*-] $GPVTG,358.00,T,,,0.10,N,0.19,K*1A
